[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 3 )  [ RunTime:0.000285s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 6 )  [ RunTime:0.000753s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 6 )  [ RunTime:0.000578s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 7 )  [ RunTime:0.000406s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 7 )  [ RunTime:0.000282s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 2 )  [ RunTime:0.000283s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 3 )  [ RunTime:0.000275s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 3 )  [ RunTime:0.000299s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 6 )  [ RunTime:0.000263s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 6 )  [ RunTime:0.000266s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
